tc_EventID,tc_ExpStartDatetime.UTC,tc_ExpEndDatetime.UTC,tc_ExpDurationHrs,tc_EPID,BFE_slpm,BFU_slpm,THCFlowAvg_slpm,THCFlowUncertainty_slpm,tc_C1MassFlow,tc_C1MassFlowUncertainty,tc_ExpEPCount,tc_EquipmentUnitID,tc_EquipmentGroupID
20240206_0000_000,2024-02-06T00:30:03Z,2024-02-06T01:00:02Z,0.49972222222222223,4W-32,43.01,0.56,42.28,1.09,1652.3388000000002,38.12760000000001,1,4W-3,4W
20240206_0000_001,2024-02-06T01:30:04Z,2024-02-06T02:00:03Z,0.49972222222222223,4S-16,14.43,0.13,14.19,0.34,554.3496,11.566800000000002,2,4S-1,4S
20240206_0000_002,2024-02-06T01:30:04Z,2024-02-06T02:00:03Z,0.49972222222222223,5S-34,13.95,0.22,13.72,0.38,535.9284,13.280400000000002,2,5S-3,5S
20240206_0000_003,2024-02-06T01:30:04Z,2024-02-06T02:00:02Z,0.49944444444444447,4T-32,8.82,0.07,8.67,0.2,338.8644,6.8544,1,4T-3,4T
20240206_0000_004,2024-02-06T02:30:04Z,2024-02-06T03:30:03Z,0.9997222222222222,4S-16,14.69,0.25,14.44,0.41,564.2028,14.565600000000003,2,4S-1,4S
20240206_0000_005,2024-02-06T02:30:04Z,2024-02-06T03:30:04Z,1,4W-51,12.49,0.18,12.28,0.33,479.80800000000005,11.566800000000002,1,4W-5,4W
20240206_0000_006,2024-02-06T02:30:04Z,2024-02-06T03:30:03Z,0.9997222222222222,5W-28,14.39,0.24,14.15,0.39,553.0644000000001,13.7088,2,5W-2,5W
20240206_0000_007,2024-02-06T02:30:05Z,2024-02-06T03:30:03Z,0.9994444444444445,5S-34,14.18,0.31,13.94,0.43,544.9248000000001,15.850800000000003,1,5S-3,5S
20240206_0000_008,2024-02-06T04:00:05Z,2024-02-06T06:00:04Z,1.9997222222222222,4S-41,15.08,0.13,14.82,0.35,579.1968,11.995200000000002,2,4S-4,4S
20240206_0000_009,2024-02-06T04:00:05Z,2024-02-06T06:00:05Z,2,5S-26,19.92,0.23,19.58,0.49,765.5508000000001,17.136000000000003,1,5S-2,5S
20240206_0000_010,2024-02-06T04:00:05Z,2024-02-06T06:00:04Z,1.9997222222222222,5W-26,15.02,0.13,14.77,0.35,577.0548000000001,11.995200000000002,2,5W-2,5W
20240206_0000_011,2024-02-06T08:00:07Z,2024-02-06T08:30:06Z,0.49972222222222223,4W-32,43.25,0.72,42.51,1.18,1661.3352000000002,41.983200000000004,1,4W-3,4W
20240206_0000_012,2024-02-06T08:00:07Z,2024-02-06T08:30:07Z,0.5,4T-32,8.98,0.33,8.83,0.38,345.29040000000003,14.565600000000003,1,4T-3,4T
20240206_0000_013,2024-02-06T09:00:09Z,2024-02-06T09:30:08Z,0.49972222222222223,5S-34,14.24,0.22,14,0.38,547.0668000000001,13.280400000000002,2,5S-3,5S
20240206_0000_014,2024-02-06T09:00:09Z,2024-02-06T09:30:07Z,0.49944444444444447,4T-21,22.78,0.35,22.39,0.6,875.2212000000001,21.42,1,4T-2,4T
20240206_0000_015,2024-02-06T09:00:09Z,2024-02-06T09:30:08Z,0.49972222222222223,4S-16,14.77,0.15,14.51,0.35,567.2016,11.995200000000002,2,4S-1,4S
20240206_0000_016,2024-02-06T10:00:10Z,2024-02-06T11:00:09Z,0.9997222222222222,5S-34,14.31,0.2,14.07,0.37,549.6372,12.852,2,5S-3,5S
20240206_0000_017,2024-02-06T10:00:10Z,2024-02-06T11:00:09Z,0.9997222222222222,4S-16,14.88,0.16,14.63,0.36,571.914,12.4236,2,4S-1,4S
20240206_0000_018,2024-02-06T10:00:10Z,2024-02-06T11:00:10Z,1,4W-51,12.35,0.2,12.14,0.33,474.6672,11.995200000000002,1,4W-5,4W
20240206_0000_019,2024-02-06T11:30:11Z,2024-02-06T13:30:11Z,2,4S-41,15.2,0.14,14.94,0.36,583.9092,12.4236,1,4S-4,4S
20240206_0000_020,2024-02-06T11:30:11Z,2024-02-06T13:30:10Z,1.9997222222222222,5W-26,15.16,0.24,14.91,0.41,582.624,14.565600000000003,1,5W-2,5W
20240206_0000_021,2024-02-06T11:30:12Z,2024-02-06T13:30:10Z,1.9994444444444444,5S-26,20.12,0.24,19.78,0.5,772.8336,17.136000000000003,1,5S-2,5S
20240206_0000_022,2024-02-06T14:30:13Z,2024-02-06T16:30:12Z,1.9997222222222222,4T-31,22.87,0.54,22.48,0.73,878.6484000000002,26.560800000000004,1,4T-3,4T
20240206_0000_023,2024-02-06T14:30:13Z,2024-02-06T16:40:43Z,2.175,5S-26,30.85,0.6,30.33,0.9,1185.3828,32.13,1,5S-2,5S
